corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
matukar	bklife	0001	#	#	#	#				
matukar	bklife	0001	ngau	1SG.S	ln_pro.1	ln_pro	1		1005	new
matukar	bklife	0001	yang	name	np:s	np		s	1001	new
matukar	bklife	0001	-au	-1SG	-rn_pro.1:poss	-rn_pro	1	poss	1005	
matukar	bklife	0001	main	TOP	rn	rn				
matukar	bklife	0001	Bruce	Bruce	pn_np:pred	pn_np		pred		
matukar	bklife	0001	do	CONJ	other	other				
matukar	bklife	0001	Kaluk	Kaluk	rn_pn_np	rn_pn_np				
matukar	bklife	0001	%	%	%	%				
matukar	bklife	0002	#	#	#	#				
matukar	bklife	0002	do	CONJ	other	other				
matukar	bklife	0002	gauni	today	other	other				
matukar	bklife	0002	nga-ha-u	1SG.S-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	1005	
matukar	bklife	0002	stori	story	np:s	np		s	1002	new
matukar	bklife	0002	aru	two	rn	rn				
matukar	bklife	0002	aru-e	aru-DEFID	rn	rn				
matukar	bklife	0002	gam	already	other	other				
matukar	bklife	0002	ti-e	finish-R:I:PFV	v:pred	v		pred		
matukar	bklife	0002	%	%	%	%				
matukar	bklife	0003	#	#	#	#				
matukar	bklife	0003	tahaik	one	np:s	np		s	1003	bridging
matukar	bklife	0003	ti-e	finish-R:I:PFV	v:pred	v		pred		
matukar	bklife	0003	%	%	%	%				
matukar	bklife	0003	#	#	#	#				
matukar	bklife	0003	gauni	today	other	other				
matukar	bklife	0003	tahaik	one	np:p	np		p	1004	bridging
matukar	bklife	0003	nga-	1SG.S-	-pro.1:a	-pro	1	a	1005	
matukar	bklife	0003	stori-bawai	story-IRR:I:DESID	v:pred	v		pred		
matukar	bklife	0003	%	%	%	%				
matukar	bklife	0004	#	#	#	#				
matukar	bklife	0004	nga-ha-u	1SG.S-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	1005	
matukar	bklife	0004	life	life_[English]	ln	ln				
matukar	bklife	0004	stori	story	np:s	np		s	1004	
matukar	bklife	0004	nga-	1SG.S-	-ln_pro.1:poss	-ln_pro	1	poss	1005	
matukar	bklife	0004	palum-ma-n	come-APS-3.SG	np:pred	np		pred		
matukar	bklife	0004	main	TOP	rn	rn				
matukar	bklife	0004	%	%	%	%				
matukar	bklife	0004	#	#	#	#				
matukar	bklife	0004	gaumomani	today	other	other				
matukar	bklife	0004	mani	here	other:l	other		l	1040	new
matukar	bklife	0004	ZERO	ZERO	0.1:s	0	1	s	1005	
matukar	bklife	0004	nga-	1SG.S-	-pro_1_s	-pro_1_s			1005	
matukar	bklife	0004	mado-nggo	stay-R:I:IMPV	v:pred	v		pred		
matukar	bklife	0004	%	%	%	%				
matukar	bklife	0005	#	#	#	#				
matukar	bklife	0005	nga-ha-u	1SG.S-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	1005	
matukar	bklife	0005	tama-u	father-1SG	np.h:appos	np	h	appos	1006	new
matukar	bklife	0005	nga-ha-u	1SG.S-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	1005	
matukar	bklife	0005	tama-u	father-1SG	np.h:s	np	h	s	1006	
matukar	bklife	0005	mainangan	TOP-FOC	rn	rn				
matukar	bklife	0005	mo	there	other:pred	other		pred		
matukar	bklife	0006	Aitape	Aitape_(village)	pn_np:dt_l	pn_np		dt_l	1007	unused
matukar	bklife	0007	Ali	Ali_(village)	ln	ln				
matukar	bklife	0007	ailan	island_[TokPisin]	pn_np:dt_l	pn_np		dt_l	1008	bridging
matukar	bklife	0007	%	%	%	%				
matukar	bklife	0008	#	#	#	#				
matukar	bklife	0008	main	PROX	ln	ln				
matukar	bklife	0008	ngau	1SG.S	ln_pro.1	ln_pro	1		1005	
matukar	bklife	0008	mam	dad	np.h:s	np	h	s	1006	
matukar	bklife	0008	manig	like.this	other	other				
matukar	bklife	0008	palum-an	come-FOC	v:pred	v		pred		
matukar	bklife	0008	%	%	%	%				
matukar	bklife	0009	#	#	#	#				
matukar	bklife	0009	ZERO	ZERO	0.h:s	0	h	s	1006	
matukar	bklife	0009	palum-e	come-SEQ:D	v:pred	v		pred		
matukar	bklife	0009	%	%	%	%				
matukar	bklife	0009	#	#	#	#				
matukar	bklife	0009	ZERO	ZERO	0.h:s	0	h	s	1006	
matukar	bklife	0009	y-	3SG.S-	-pro_h_s	-pro_h_s			1006	
matukar	bklife	0009	au-we	go-SEQ:D	v:pred	v		pred		
matukar	bklife	0009	mo	there	other:l	other		l		
matukar	bklife	0009	Kimbe	Kimbe_(village)	pn_np:l	pn_np		l	1009	unused
matukar	bklife	0009	%	%	%	%				
matukar	bklife	0009	#	#	#	#				
matukar	bklife	0009	urat	work	np:p	np		p	1010	new
matukar	bklife	0009	ZERO	ZERO	0.h:a	0	h	a	1006	
matukar	bklife	0009	nage-nge	work-R:I:PFV	v:pred	v		pred		
matukar	bklife	0009	%	%	%	%				
matukar	bklife	0010	#	#	#	#				
matukar	bklife	0010	urat	work	np:p	np		p	1010	
matukar	bklife	0010	ZERO	ZERO	0.h:a	0	h	a	1006	
matukar	bklife	0010	nage-nge	work-SEQ:D	v:pred	v		pred		
matukar	bklife	0010	%	%	%	%				
matukar	bklife	0010	#	#	#	#				
matukar	bklife	0010	ZERO	ZERO	0.h:s	0	h	s	1006	
matukar	bklife	0010	tor-do	go.around-R:D	v:pred	v		pred		
matukar	bklife	0010	%	%	%	%				
matukar	bklife	0010	#	#	#	#				
matukar	bklife	0010	nal	day	other	other				
matukar	bklife	0010	ager	war	np:dt_s	np		dt_s	1011	new
matukar	bklife	0010	tibu-d	white.man-3PL	rn	rn				
matukar	bklife	0010	ha-di	POSS-3PL	ln	ln				
matukar	bklife	0010	ager	war	np:s	np		s	1011	
matukar	bklife	0010	saipid-do	develop-R:D	v:pred	v		pred		
matukar	bklife	0010	%	%	%	%				
matukar	bklife	0010	#	#	#	#				
matukar	bklife	0010	i	3SG.S	pro.h:s	pro	h	s	1006	
matukar	bklife	0010	sol-e	run-R:I:PFV	v:pred	v		pred		
matukar	bklife	0010	%	%	%	%				
matukar	bklife	0011	#	#	#	#				
matukar	bklife	0011	i	3SG.S	pro.h:s	pro	h	s	1006	
matukar	bklife	0011	sole	run-SEQ:D	v:pred	v		pred		
matukar	bklife	0011	%	%	%	%				
matukar	bklife	0011	#	#	#	#				
matukar	bklife	0011	wag	canoe	np:p	np		p	1012	new
matukar	bklife	0011	ZERO	ZERO	0.h:a	0	h	a	1006	
matukar	bklife	0011	suwenge	carve.out-R:I:PFV	v:pred	v		pred		
matukar	bklife	0011	%	%	%	%				
matukar	bklife	0012	#	#	#	#				
matukar	bklife	0012	wag	canoe	np:p	np		p	1012	
matukar	bklife	0012	ZERO	ZERO	0.h:a	0	h	a	1006	
matukar	bklife	0012	suwi-nge	carve.out-SEQ:D	v:pred	v		pred		
matukar	bklife	0012	%	%	%	%				
matukar	bklife	0012	#	#	#	#				
matukar	bklife	0012	milok	something-NOM.UNPOSS	np:p	np		p	1012	
matukar	bklife	0012	ZERO	ZERO	0.h:a	0	h	a	1006	
matukar	bklife	0012	rai-nge	pull-SEQ:D	v:pred	v		pred		
matukar	bklife	0012	%	%	%	%				
matukar	bklife	0012	#	#	#	#				
matukar	bklife	0012	ZERO	ZERO	0.h:s	0	h	s	1006	
matukar	bklife	0012	palum-e	come-SEQ:D	v:pred	v		pred		
matukar	bklife	0012	palum	come	rv	rv				
matukar	bklife	0012	palum	come	rv	rv				
matukar	bklife	0012	%	%	%	%				
matukar	bklife	0012	#	#	#	#				
matukar	bklife	0012	mani-ya	here-FOC	other	other				
matukar	bklife	0012	i	3SG.A	pro.h:a	pro	h	a	1006	
