corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
matukar	fishing	0001	#	#	#	#				
matukar	fishing	0001	nornen	yesterday	other	other				
matukar	fishing	0001	sabi	sun	np:other	np		other		
matukar	fishing	0001	dabok	big	rn	rn				
matukar	fishing	0001	ZERO	ZERO	0.1:s	0	1	s	2001	new
matukar	fishing	0001	nga-	1SG.S-	-pro_1_s	-pro_1_s			2001	
matukar	fishing	0001	si-la-nge	descend-away-R:I:PFV	v:pred	v		pred		
matukar	fishing	0001	nga-ha-u	1SG.S-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	2001	
matukar	fishing	0001	iwauud	in-laws	np.h:obl	np	h	obl	2002	new
matukar	fishing	0001	di-da	3PL.S-COM	adp	adp				
matukar	fishing	0001	%	%	%	%				
matukar	fishing	0002	#	#	#	#				
matukar	fishing	0002	nub	water	ln	ln				
matukar	fishing	0002	awa-n-te	mouth-3SG-LOC	np:l	np		l	2003	new
matukar	fishing	0003	gum	hermit.crab	np:p	np		p	2004	new
matukar	fishing	0003	ZERO	ZERO	0.1:a	0	1	a	2005	bridging
matukar	fishing	0003	ngam-	1PL.EXCL.A-	-pro_1_a	-pro_1_a			2005	
matukar	fishing	0003	hate-nge	break-SEQ:D	v:pred	v		pred		
matukar	fishing	0003	ti-do	finish-R:D	aux	aux				
matukar	fishing	0003	%	%	%	%				
matukar	fishing	0003	#	#	#	#				
matukar	fishing	0003	onon	hook	np:p	np		p	2006	new
matukar	fishing	0003	ZERO	ZERO	0.1:a	0	1	a	2005	
matukar	fishing	0003	ngam-	1PL.EXCL.A-	-pro_1_a	-pro_1_a			2005	
matukar	fishing	0003	bal-e	throw-R:I:PFV	v:pred	v		pred		
matukar	fishing	0003	%	%	%	%				
matukar	fishing	0004	#	#	#	#				
matukar	fishing	0004	onon	hook	np:p	np		p	2006	
matukar	fishing	0004	ZERO	ZERO	0.1:a	0	1	a	2005	
matukar	fishing	0004	ngam-	1PL.EXCL.A-	-pro_1_a	-pro_1_a			2005	
matukar	fishing	0004	baldo	throw-R:D	v:pred	v		pred		
matukar	fishing	0004	%	%	%	%				
matukar	fishing	0004	#	#	#	#				
matukar	fishing	0004	ngau	1SG.A	pro.1:a	pro	1	a	2001	
matukar	fishing	0004	wasing	fish	np:p	np		p	2007	bridging
matukar	fishing	0004	kasik	very	rn	rn				
matukar	fishing	0004	main	TOP	rn	rn				
matukar	fishing	0004	nga-	1SG.A-	-pro_1_a	-pro_1_a			2001	
matukar	fishing	0004	wane-nge	catch-R:I:PFV	v:pred	v		pred		
matukar	fishing	0004	%	%	%	%				
matukar	fishing	0005	#	#	#	#				
matukar	fishing	0005	wasing	fish	ln	ln				
matukar	fishing	0005	haiyan	small	ln	ln				
matukar	fishing	0005	waran	pieces	np:predex	np		predex	2007	
matukar	fishing	0005	%	%	%	%				
matukar	fishing	0006	#	#	#	#				
matukar	fishing	0006	mumolau	kind_of_reef_fish	np:p	np		p	2009	bridging
matukar	fishing	0006	tol	three	rn	rn				
matukar	fishing	0006	sina	kind_of_reef_fish	rn_np	rn_np			2010	bridging
matukar	fishing	0006	aru	two	rn	rn				
matukar	fishing	0006	bub	kind_of_reef_fish	rn_np	rn_np			2011	bridging
matukar	fishing	0006	tahaik	one	rn	rn				
matukar	fishing	0007	ZERO	ZERO	0.1:a	0	1	a	2001	
matukar	fishing	0007	nga-	1SG.A-	-pro_1_a	-pro_1_a			2001	
matukar	fishing	0007	ngale-das-e	take-ascend-SEQ:D	v:pred	v		pred		
matukar	fishing	0007	main	TOP	other	other				
matukar	fishing	0007	%	%	%	%				
matukar	fishing	0007	#	#	#	#				
matukar	fishing	0007	yau	fire	np:p	np		p	2012	new
matukar	fishing	0007	ZERO	ZERO	0.1:a	0	1	a	2005	
matukar	fishing	0007	ngam-	1PL.EXCL.A-	-pro_1_a	-pro_1_a			2005	
matukar	fishing	0007	tauni-nge	make-SEQ:D	v:pred	v		pred		
matukar	fishing	0007	%	%	%	%				
matukar	fishing	0007	#	#	#	#				
matukar	fishing	0007	ZERO	ZERO	0.1:a	0	1	a	2005	
matukar	fishing	0007	ZERO	ZERO	np:p	np		p	2007	
matukar	fishing	0007	ngam-	1PL.EXCL.A-	-pro_1_a	-pro_1_a			2005	
matukar	fishing	0007	mamari-nge	smoke-SEQ:D	v:pred	v		pred		
matukar	fishing	0007	%	%	%	%				
matukar	fishing	0007	#	#	#	#				
matukar	fishing	0007	fud-ama-n-da	banana-APS-3SG-COM	np:obl	np		obl	2013	new
matukar	fishing	0007	ZERO	ZERO	0.1:a	0	1	a	2005	
matukar	fishing	0007	ZERO	ZERO	np:p	np		p	2007	
matukar	fishing	0007	ngam-	1PL.EXCL.A-	-pro_1_a	-pro_1_a			2005	
matukar	fishing	0007	ani-nge	eat-SEQ:D	v:pred	v		pred		
matukar	fishing	0007	ti-do	finish-R:D	aux	aux				
matukar	fishing	0007	%	%	%	%				
matukar	fishing	0008	#	#	#	#				
matukar	fishing	0008	nga-ha-u	1SG.S-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	2001	
matukar	fishing	0008	iwau	in-law	np.h:p	np	h	p	2014	bridging
matukar	fishing	0008	Yalmai	Yalmai_(Rebecca)	pn_np.h:appos	pn_np	h	appos	2014	
matukar	fishing	0008	ZERO	ZERO	0.1:a	0	1	a	2001	
matukar	fishing	0008	nga-	1SG.A-	-pro_1_a	-pro_1_a			2001	
matukar	fishing	0008	dud	send	v:pred	v		pred		
matukar	fishing	0008	-i	-3SG.P	-pro_h_p	-pro_h_p			2014	
matukar	fishing	0008	-nge	-SEQ:D	-rv	-rv				
matukar	fishing	0008	%	%	%	%				
matukar	fishing	0008	#	#	#	#				
matukar	fishing	0008	ZERO	ZERO	0.h:s	0	h	s	2014	
matukar	fishing	0008	y-	3SG.S-	-pro_h_s	-pro_h_s			2014	
matukar	fishing	0008	a-we	go-SEQ:D	v:pred	v		pred		
matukar	fishing	0008	%	%	%	%				
matukar	fishing	0008	#	#	#	#				
matukar	fishing	0008	gum	hermit.crab	np:other	np		other	2015	new
matukar	fishing	0008	wai	like	adp	adp				
matukar	fishing	0008	ZERO	ZERO	0.h:s	0	h	s	2014	
matukar	fishing	0008	y-	3SG.S-	-pro_h_s	-pro_h_s			2014	
matukar	fishing	0008	ep-ado-nge	look-AGAIN-R:I:PFV	v:pred	v		pred		
matukar	fishing	0008	%	%	%	%				
matukar	fishing	0009	#	#	#	#				
matukar	fishing	0009	gum	hermit_crab	np:other	np		other	2015	
matukar	fishing	0009	wai	like	adp	adp				
matukar	fishing	0009	ZERO	ZERO	0.h:s	0	h	s	2014	
matukar	fishing	0009	y-	3SG.S-	-pro_h_s	-pro_h_s			2014	
