corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
matukar	kadagoi	0001	#	#	#	#				
matukar	kadagoi	0001	ngau	1SG.S	ln_pro.1:poss	ln_pro	1	poss	3003	new
matukar	kadagoi	0001	neraurau	story	np:dt	np		dt	3001	new
matukar	kadagoi	0001	main-angan	TOP-FOC	rn	rn				
matukar	kadagoi	0001	nga-ha-u	1SG-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	3003	
matukar	kadagoi	0001	nen	mom	np.h:obl	np	h	obl	3002	new
matukar	kadagoi	0001	lo	as	adp	adp				
matukar	kadagoi	0001	ZERO	ZERO	0.1:s	0	1	s	3003	
matukar	kadagoi	0001	nga-	1SG.S-	-pro_1_s	-pro_1_s			3003	
matukar	kadagoi	0001	gamuka-ba	talk-I:IRR	v:pred	v		pred		
matukar	kadagoi	0001	%	%	%	%				
matukar	kadagoi	0002	#	#	#	#				
matukar	kadagoi	0002	nga-ha-u	1SG-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	3003	
matukar	kadagoi	0002	nen	mom	np.h:s	np	h	s	3002	
matukar	kadagoi	0002	main-angan	TOP-FOC	rn	rn				
matukar	kadagoi	0002	Matugar	Matugar	ln_pn_np	ln_pn_np				
matukar	kadagoi	0002	pain	woman	np.h:pred	np	h	pred		
matukar	kadagoi	0002	%	%	%	%				
matukar	kadagoi	0003	#	#	#	#				
matukar	kadagoi	0003	ZERO	ZERO	0.h:s	0	h	s	3002	
matukar	kadagoi	0003	mado-nge	live-SEQ:D	v:pred	v		pred		
matukar	kadagoi	0003	y-a-we	3SG.S-go-SEQ:D	aux	aux				
matukar	kadagoi	0003	%	%	%	%				
matukar	kadagoi	0003	#	#	#	#				
matukar	kadagoi	0003	Kudag	Kudag_(village)	ln_pn_np	ln_pn_np				
matukar	kadagoi	0003	tamat	man	np.h:a	np	h	a	3004	new
matukar	kadagoi	0003	ZERO	ZERO	0.h:p	0	h	p	3002	
matukar	kadagoi	0003	ngale-nge	marry-R:I:PFV	v:pred	v		pred		
matukar	kadagoi	0003	%	%	%	%				
matukar	kadagoi	0004	#	#	#	#				
matukar	kadagoi	0004	ida	with	other	other				
matukar	kadagoi	0004	ZERO	ZERO	0.h:s	0	h	s	3005	bridging
matukar	kadagoi	0004	di-	3SG.S-	-pro_h_s	-pro_h_s			3005	
matukar	kadagoi	0004	mado-nge	live-SEQ:D	v:pred	v		pred		
matukar	kadagoi	0004	%	%	%	%				
matukar	kadagoi	0004	#	#	#	#				
matukar	kadagoi	0004	ZERO	ZERO	0.h:a	0	h	a	3005	
matukar	kadagoi	0004	ZERO	ZERO	0.1:p	0	1	p	3006	bridging
matukar	kadagoi	0004	di-	3PL.A-	-pro_h_a	-pro_h_a			3005	
matukar	kadagoi	0004	nage	give.birth	v:pred	v		pred		
matukar	kadagoi	0004	-yamam	-1PL.EXCL.P	-pro_h_p	-pro_h_p			3006	
matukar	kadagoi	0004	-e	-SEQ:D	-rv	-rv				
matukar	kadagoi	0004	%	%	%	%				
matukar	kadagoi	0005	#	#	#	#				
matukar	kadagoi	0005	ZERO	ZERO	0.h:a	0	h	a	3005	
matukar	kadagoi	0005	ZERO	ZERO	0.1:p	0	1	p	3006	
matukar	kadagoi	0005	di-	3SG.A-	-pro_h_a	-pro_h_a			3005	
matukar	kadagoi	0005	yamat	care_for	v:pred	v		pred		
matukar	kadagoi	0005	-amam	-1PL.EXCL.P	-pro_1_p	-pro_1_p			3006	
matukar	kadagoi	0005	-e	-SEQ:D	-rv	-rv				
matukar	kadagoi	0005	y-au-we	3SG.S-go-SEQ:D	aux	aux				
matukar	kadagoi	0005	%	%	%	%				
matukar	kadagoi	0005	#	#	#	#				
matukar	kadagoi	0005	ZERO	ZERO	0.1:s	0	1	s	3006	
matukar	kadagoi	0005	ngam-	1PL.EXCL.S-	-pro_1_s	-pro_1_s			3006	
matukar	kadagoi	0005	uyan-yan-e	big-uyan.redup-R:I:PFV	v:pred	v		pred		
matukar	kadagoi	0005	%	%	%	%				
matukar	kadagoi	0006	#	#	#	#				
matukar	kadagoi	0006	ngau	1SG.S	pro.1:s	pro	1	s	3003	
matukar	kadagoi	0006	nga-	1SG.S-	-pro_1_s	-pro_1_s			3003	
matukar	kadagoi	0006	au-we	go-SEQ:D	v:pred	v		pred		
matukar	kadagoi	0006	%	%	%	%				
matukar	kadagoi	0006	#	#	#	#				
matukar	kadagoi	0006	ZERO	ZERO	0.1:s	0	1	s	3003	
matukar	kadagoi	0006	pain	woman	lv	lv				
matukar	kadagoi	0006	dabok-ado	big-R:D	v:pred	v		pred		
matukar	kadagoi	0006	%	%	%	%				
matukar	kadagoi	0006	#	#	#	#				
matukar	kadagoi	0006	ngau	1SG.A	pro.1:a	pro	1	a	3004	
matukar	kadagoi	0006	tamat	man	np.h:p	np	h	p	3007	new
matukar	kadagoi	0006	nga-	1SG.A-	-pro_1_a	-pro_1_a			3004	
matukar	kadagoi	0006	ngale-nge	marry-R:I:PFV	v:pred	v		pred		
matukar	kadagoi	0006	%	%	%	%				
matukar	kadagoi	0007	#	#	#	#				
matukar	kadagoi	0007	nga-ha-u	1SG-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	3003	
matukar	kadagoi	0007	tamat	man	np.h:s	np	h	s	3007	
matukar	kadagoi	0007	main-angan	TOP-FOC	rn	rn				
matukar	kadagoi	0007	Ali	Ali	pn_np:pred	pn_np		pred		
matukar	kadagoi	0007	do	and	rn	rn				
matukar	kadagoi	0007	Surumaran	Surumaran	rn_pn_np	rn_pn_np				
matukar	kadagoi	0007	%	%	%	%				
matukar	kadagoi	0008	#	#	#	#				
matukar	kadagoi	0008	ZERO	ZERO	0.1:s	0	1	s	3008	bridging
matukar	kadagoi	0008	ngam-	1PL.EXCL.S-	-pro_1_s	-pro_1_s			3008	
matukar	kadagoi	0008	mado-nge	live-SEQ:D	v:pred	v		pred		
matukar	kadagoi	0008	%	%	%	%				
matukar	kadagoi	0008	#	#	#	#				
