corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
matukar	manub	0001	#	#	#	#				
matukar	manub	0001	aria	OK	other	other				
matukar	manub	0001	gauni	now	other	other				
matukar	manub	0002	nga-ha-mam	1PL.EXCL-POSS-1PL.EXCL	ln_pro.1:poss	ln_pro	1	poss	4003	new
matukar	manub	0002	wagam	traditional.story	np:pred	np		pred	4001	new
matukar	manub	0002	%	%	%	%				
matukar	manub	0003	#	#	#	#				
matukar	manub	0003	wagamu	before	other	other				
matukar	manub	0004	ses-ad	grandparents-1PL.INCL	np.h:dt_s	np	h	dt_s	4002	new
matukar	manub	0005	tibu	grandparents	np.h:s	np	h	s	4002	
matukar	manub	0005	-mam	-1PL.EXCL	-rn_pro.1:poss	-rn_pro	1	poss	4003	
matukar	manub	0006	di-	3PL.S-	-pro_h_s	-pro_h_s			4002	
matukar	manub	0006	mado-nge	sit-SEQ:D	v:pred	v		pred		
matukar	manub	0006	so-nge	come-SEQ:D	aux	aux				
matukar	manub	0006	palum-e	come-R:I:PFV	aux	aux				
matukar	manub	0006	gauni	now	other	other				
matukar	manub	0006	%	%	%	%				
matukar	manub	0007	#	#	#	#				
matukar	manub	0007	id	1PL.INCL.S	pro.1:s	pro	1	s	4003	
matukar	manub	0007	ta-	1PL.INCL.S-	-pro_1_s	-pro_1_s			4003	
matukar	manub	0007	mado-nggo	sit-R:I:IMPV	v:pred	v		pred		
matukar	manub	0007	%	%	%	%				
matukar	manub	0008	#	#	#	#				
matukar	manub	0008	wagamu	before	other	other				
matukar	manub	0009	manub	Manub	pn_np.h:s	pn_np	h	s	4004	new
matukar	manub	0009	kulbob	Kulbob	rn_pn_np.h	rn_pn_np	h		4005	new
matukar	manub	0010	nal	time	np:other	np		other		
matukar	manub	0010	di-	3PL.S-	-pro_h_s	-pro_h_s			4006	bridging
matukar	manub	0010	mado-nge	live-R:I:PFV	v:pred	v		pred		
matukar	manub	0010	main-te	TOP-LOC	other	other				
matukar	manub	0010	%	%	%	%				
matukar	manub	0011	#	#	#	#				
matukar	manub	0011	tamat	man	np.h:predex	np	h	predex	4006	
matukar	manub	0011	aru	two	rn	rn				
matukar	manub	0011	%	%	%	%				
matukar	manub	0012	#	#	#	#				
matukar	manub	0012	mug	first	other	other				
matukar	manub	0013	tain	younger.sibling-3SG	np.h:s	np	h	s	4005	
matukar	manub	0013	natu-n	small-3SG	rn	rn				
matukar	manub	0014	palum-e	come-SEQ:D	v:pred	v		pred		
matukar	manub	0014	%	%	%	%				
matukar	manub	0015	#	#	#	#				
matukar	manub	0015	abek	place	np:l	np		l	4007	new
matukar	manub	0015	ZERO	ZERO	0.h:s	0	h	s	4005	
matukar	manub	0015	mado-mbuai	sit-IRR:I:DESID	v:pred	v		pred		
matukar	manub	0015	%	%	%	%				
matukar	manub	0016	#	#	#	#				
matukar	manub	0016	abenaman	place	np:l	np		l	4007	
matukar	manub	0016	wai	like	adp	adp				
matukar	manub	0016	ZERO	ZERO	0.h:s	0	h	s		
matukar	manub	0016	y-	3SG.S-	-pro_h_s	-pro_h_s			4005	
matukar	manub	0016	ep-ado	look-R:D	v:pred	v		pred		
matukar	manub	0016	%	%	%	%				
matukar	manub	0016	#	#	#	#				
matukar	manub	0016	ZERO	ZERO	0.h:s	0	h	s	4005	
matukar	manub	0016	tor-e	go.around-SEQ:D	v:pred	v		pred		
matukar	manub	0016	%	%	%	%				
matukar	manub	0017	#	#	#	#				
matukar	manub	0017	i	3SG.S	pro.h:s	pro	h	s	4005	
matukar	manub	0017	so-nge	come-SEQ:D	v:pred	v		pred		
matukar	manub	0017	songe	come-R:I:PFV	aux	aux				
matukar	manub	0018	manig	like.this	other	other				
matukar	manub	0018	kuturte	Kutur-LOC	pn_np:l	pn_np		l	4008	unused
matukar	manub	0018	%	%	%	%				
matukar	manub	0019	#	#	#	#				
matukar	manub	0019	abang	place	np:p	np		p	4008	
matukar	manub	0019	i	3SG.A	pro.h:a	pro	h	a	4005	
matukar	manub	0019	te-nge	see-R:I:PFV	v:pred	v		pred		
matukar	manub	0019	%	%	%	%				
matukar	manub	0020	#	#	#	#				
matukar	manub	0020	do	CONJ	other	other				
matukar	manub	0021	yau	fire	ln	ln				
matukar	manub	0021	kas	smoke	np:p	np		p	4009	new
matukar	manub	0021	ZERO	ZERO	0.h:a	0	h	a	4005	
matukar	manub	0021	te-nge	see-R:I:PFV	v:pred	v		pred		
matukar	manub	0021	%	%	%	%				
matukar	manub	0021	#	#	#	#				
matukar	manub	0021	yau	fire	ln	ln				
matukar	manub	0021	kas	smoke	np:s	np		s	4009	
matukar	manub	0021	mais-e	rise-R:I:PFV	v:pred	v		pred		
matukar	manub	0021	%	%	%	%				
matukar	manub	0022	#	#	#	#				
matukar	manub	0022	do	CONJ	other	other				
matukar	manub	0023	i	3SG.S	pro.h:s	pro	h	s	4005	
