corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
matukar	mariu	0001	#	#	#	#				
matukar	mariu	0001	ari	OK	other	other				
matukar	mariu	0001	gauni	today	other	other				
matukar	mariu	0001	gauni	today	other	other				
matukar	mariu	0001	ngau	1SG.S	ln_pro.1:dt	ln_pro	1	dt	5002	new
matukar	mariu	0001	stori	story	np:s	np		s	5001	new
matukar	mariu	0001	main-angan	TOP-FOC	rn	rn				
matukar	mariu	0001	mariu	betel.nut	np:pred	np		pred		
matukar	mariu	0001	ha-n	POSS-3SG	rn	rn				
matukar	mariu	0001	%	%	%	%				
matukar	mariu	0002	#	#	#	#				
matukar	mariu	0002	mariu	betul.nut	ln	ln				
matukar	mariu	0002	han	POSS-3SG	ln	ln				
matukar	mariu	0002	neuraurau	story	np:p	np		p	5001	
matukar	mariu	0002	ZERO	ZERO	0.1:a	0	1	a	5002	
matukar	mariu	0002	nga-	1SG.A-	-pro_1_a	-pro_1_a			5002	
matukar	mariu	0002	pasim-bai	tell-IRR:I:DESID	v:pred	v		pred		
matukar	mariu	0002	niu	cocunut	np:dt_p	np		dt_p	5003	new
matukar	mariu	0002	main	TOP	rn	rn				
matukar	mariu	0003	niu	coconut	rn_np	rn_np			5003	
matukar	mariu	0003	do	and	rn	rn				
matukar	mariu	0003	mariu	betel.nut	rn_np	rn_np			5004	bridging
matukar	mariu	0003	%	%	%	%				
matukar	mariu	0004	#	#	#neg	#neg				
matukar	mariu	0004	wagamami	before	other	other				
matukar	mariu	0004	nga-ha-mam	1SG-POSS-1PL.EXCL	ln_pro.1:poss	ln_pro	1	poss	5073	bridging
matukar	mariu	0004	ses	grandparent	np.h:other	np	h	other	5005	new
matukar	mariu	0004	bagena	grandparent	np:other	np		other		
matukar	mariu	0004	mariu	betel.nut	np:predex	np		predex		
matukar	mariu	0004	ti	NEG	rn	rn				
matukar	mariu	0004	%	%	%	%				
matukar	mariu	0005	#	#	#neg	#neg				
matukar	mariu	0005	mariu	betel.nut	np:predex	np		predex		
matukar	mariu	0005	main	TOP	rn	rn				
matukar	mariu	0005	ti	NEG	rn	rn				
matukar	mariu	0005	%	%	%	%				
matukar	mariu	0006	#	#	#neg	#neg				
