corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
matukar	niu	0001	#	#	#	#				
matukar	niu	0001	ngau	1SG.A	pro.1:a	pro	1	a	6001	new
matukar	niu	0001	gaumoni	today	other	other				
matukar	niu	0002	neuraurau	story	np:p	np		p	6002	new
matukar	niu	0002	ta	a	rn	rn				
matukar	niu	0002	nga-	1SG.A-	-pro_1_a	-pro_1_a			6001	
matukar	niu	0002	pasi-mbawai	tell-IRR:I	v:pred	v		pred		
matukar	niu	0002	%	%	%	%				
matukar	niu	0003	#	#	#	#				
matukar	niu	0003	neuraurau	story	np:s	np		s	6002	
matukar	niu	0003	main	TOP	rn	rn				
matukar	niu	0004	niu	coconut	np:pred	np		pred	6003	new
matukar	niu	0004	%	%	%	%				
matukar	niu	0005	#	#	#	#				
matukar	niu	0005	wagam	before	other	other				
matukar	niu	0005	maniy-a	here-LOC	other:l	other		l	6004	unused
matukar	niu	0005	niu	coconut	np:predex	np		predex		
matukar	niu	0005	ti	NEG	rn	rn				
matukar	niu	0005	%	%	%	%				
matukar	niu	0006	#	#	#neg	#neg				
matukar	niu	0006	niu	coconut	np:predex	np		predex		
matukar	niu	0006	ti-mokamok	NEG-INTSF	other	other				
matukar	niu	0006	%	%	%	%				
matukar	niu	0007	#	#	#	#				
matukar	niu	0007	do	CONJ	other	other				
matukar	niu	0007	nal	day	np:other	np		other		
matukar	niu	0007	ta	one	rn	rn				
matukar	niu	0008	malal	village	np:l	np		l	6004	
matukar	niu	0008	ta-te	one-LOC	rn	rn				
matukar	niu	0009	aim	boy	np.h:s	np	h	s	6005	new
matukar	niu	0009	aru	two	rn	rn				
matukar	niu	0010	tain	younger.brother	np.h:appos	np	h	appos	6006	bridging
matukar	niu	0010	natun	small	rn	rn				
matukar	niu	0010	do	CONJ	other	other				
matukar	niu	0010	tawan	elder.brother	np.h:appos	np	h	appos	6007	bridging
matukar	niu	0010	dabok	big	rn	rn				
matukar	niu	0011	di-	3PL.S-	-pro_h_s	-pro_h_s			6005	
matukar	niu	0011	mado-ndo	sit-R:D	v:pred	v		pred		
matukar	niu	0011	%	%	%	%				
matukar	niu	0011	#	#	#	#				
matukar	niu	0011	ZERO	ZERO	0.h:s	0	h	s	6005	
matukar	niu	0011	di-	3PL.S-	-pro_h_s	-pro_h_s			6005	
matukar	niu	0011	gamuk-e	talk-R:I:PFV	v:pred	v		pred		
matukar	niu	0011	%	%	%	%				
matukar	niu	0012	#	#	#ds	#ds				
matukar	niu	0012	ZERO	ZERO	0.1:s	0	1	s	6005	
matukar	niu	0012	ta-	1PL.INCL.S-	-pro_1_s	-pro_1_s			6005	
matukar	niu	0012	sila-p	go.down-IRR:D	v:pred	v		pred		
matukar	niu	0012	wasing	fish	np:other	np		other		
matukar	niu	0012	wai	like	adp	adp				
matukar	niu	0012	ta	DUB	other	other				
matukar	niu	0012	%	%	%	%				
matukar	niu	0013	#	#	#	#				
matukar	niu	0013	do	and	other	other				
matukar	niu	0013	arurumi	both	np.h:s	np	h	s	6005	
matukar	niu	0013	awo	yes	other	other				
