corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
matukar	ww2	0001	#	#	#nc	#nc				
matukar	ww2	0001	ari	nc	nc	nc				
matukar	ww2	0001	uya	nc	nc	nc				
matukar	ww2	0002	halo	hello	nc	nc				
matukar	ww2	0002	%	%	%	%				
matukar	ww2	0003	#	#	#	#				
matukar	ww2	0003	aria	OK	other	other				
matukar	ww2	0003	ngau	1SG	pro.1:s	pro	1	s	7001	new
matukar	ww2	0003	stori-bawai	story-IRR:I:DESID	v:pred	v		pred		
matukar	ww2	0003	%	%	%	%				
matukar	ww2	0004	#	#	#	#				
matukar	ww2	0004	war	war	np:s	np		s	7002	new
matukar	ww2	0004	palum-do	come-ADD:D	v:pred	v		pred		
matukar	ww2	0004	%	%	%	%				
matukar	ww2	0004	#	#	#	#				
matukar	ww2	0004	ZERO	ZERO	0.1:s	0	1	s	7003	bridging
matukar	ww2	0004	ngam-	1PL.EXCL.S-	-pro_1_s	-pro_1_s			7003	
matukar	ww2	0004	sol-e	run-R:I:PFV	v:pred	v		pred		
matukar	ww2	0004	main	TOP	other	other				
matukar	ww2	0004	%	%	%	%				
matukar	ww2	0005	#	#	#	#				
matukar	ww2	0005	war	war	np:s	np		s	7002	
matukar	ww2	0005	palum-do	come-ADD:D	v:pred	v		pred		
matukar	ww2	0005	%	%	%	%				
matukar	ww2	0005	#	#	#	#				
matukar	ww2	0005	ZERO	ZERO	0.1:s	0	1	s	7003	
matukar	ww2	0005	ngam-	1PL.EXCL.S-	-pro_1_s	-pro_1_s			7003	
matukar	ww2	0005	sol-e	run-R:I:PFV	v:pred	v		pred		
matukar	ww2	0005	main	TOP	other	other				
matukar	ww2	0005	ngau	1SG.S	ln_pro.1	ln_pro	1		7001	
matukar	ww2	0005	aipain	girl	np.h:appos	np	h	appos		
matukar	ww2	0005	haun	young	rn	rn				
matukar	ww2	0005	%	%	%	%				
matukar	ww2	0006	#	#	#neg	#neg				
matukar	ww2	0006	susus	breasts	np:predex	np		predex		
matukar	ww2	0006	main	TOP	rn	rn				
matukar	ww2	0006	ti	NEG	other	other				
matukar	ww2	0006	%	%	%	%				
matukar	ww2	0007	#	#	#	#				
matukar	ww2	0007	sukul-lo	school-LOC	np:l	np		l	7005	new
matukar	ww2	0007	ZERO	ZERO	0.1:s	0	1	s	7003	
matukar	ww2	0007	ngam-	1PL.EXCL.S-	-pro_1_s	-pro_1_s			7003	
matukar	ww2	0007	mado-ndo	sit-ADD:D	v:pred	v		pred		
matukar	ww2	0007	%	%	%	%				
matukar	ww2	0007	#	#	#	#				
matukar	ww2	0007	Yapan	Japan	np.h:s	np	h	s	7006	bridging
matukar	ww2	0007	di-	3PL.S-	-pro_h_s	-pro_h_s			7006	
matukar	ww2	0007	palum-e	come-R:I:PFV	v:pred	v		pred		
matukar	ww2	0007	%	%	%	%				
matukar	ww2	0008	#	#	#	#				
matukar	ww2	0008	ngahamam	our.EXCL	ln_pro.1:poss	ln_pro	1	poss	7003	
matukar	ww2	0008	dalwan	road	np:p	np		p	7007	new
matukar	ww2	0008	ZERO	ZERO	0.h:a	0	h	a	7006	
matukar	ww2	0008	di-	3PL.A-	-pro_h_a	-pro_h_a			7006	
matukar	ww2	0008	honti-nge	close-R:I:PFV	v:pred	v		pred		
matukar	ww2	0008	%	%	%	%				
matukar	ww2	0009	#	#	#	#				
matukar	ww2	0009	do	CONJ	other	other				
