corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
matukar	yali	0001	#	#	#	#				
matukar	yali	0001	ngau	1SG.S	ln_pro.1:dt	ln_pro	1	dt	8001	new
matukar	yali	0001	nging	name	np:s	np		s	8002	new
matukar	yali	0001	-au	-1SG	-rn_pro.1:poss	-rn_pro	1	poss	8001	
matukar	yali	0001	kadagoi	Kadogai	pn_np:pred	pn_np		pred		
matukar	yali	0001	ai	COP	cop	cop				
matukar	yali	0001	%	%	%	%				
matukar	yali	0002	#	#	#	#				
matukar	yali	0002	nga-ha-u	1SG.S-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	8001	
matukar	yali	0002	nen	mom	np.h:s	np	h	s	8003	new
matukar	yali	0002	yoidig	Yolding_(village)	ln_pn_np	ln_pn_np				
matukar	yali	0002	pain	woman	np.h:pred	np	h	pred		
matukar	yali	0002	%	%	%	%				
matukar	yali	0003	#	#	#	#				
matukar	yali	0003	i	3SG.S	pro.h:s	pro	h	s	8003	
matukar	yali	0003	si-nge	descend-R:I:PFV	v:pred	v		pred		
matukar	yali	0003	malal	village	np:g	np		g	8004	new
matukar	yali	0003	ning-an	name-3SG	rn	rn				
matukar	yali	0003	Matugar-a	Matugar-LOC	rn_pn_np	rn_pn_np				
matukar	yali	0003	%	%	%	%				
matukar	yali	0004	#	#	#	#				
matukar	yali	0004	tamat	man	np.h:p	np	h	p	8005	new
matukar	yali	0004	ZERO	ZERO	0.h:a	0	h	a	8003	
matukar	yali	0004	ngale-nge	marry-R:I:PFV	v:pred	v		pred		
matukar	yali	0004	%	%	%	%				
matukar	yali	0005	#	#	#	#				
matukar	yali	0005	do	and	other	other				
matukar	yali	0005	nga-ha-u	1SG.S-POSS-1SG	ln_pro.1:poss	ln_pro	1	poss	8001	
matukar	yali	0005	nen	mom	np.h:a	np	h	a	8003	
matukar	yali	0005	ZERO	ZERO	0.h:p	0	h	p	8001	
matukar	yali	0005	nage	give.birth	v:pred	v		pred		
matukar	yali	0005	-yau	-1SG.P	-pro_1_p	-pro_1_p			8001	
matukar	yali	0005	-we	-R:D	-rv	-rv				
matukar	yali	0005	%	%	%	%				
matukar	yali	0005	#	#	#	#				
matukar	yali	0005	ZERO	ZERO	0.1:s	0	1	s	8001	
matukar	yali	0005	nga-	1SG.S-	-pro_1_s	-pro_1_s			8001	
matukar	yali	0005	dabok-e	big-R:I:PFV	v:pred	v		pred		
matukar	yali	0005	%	%	%	%				
matukar	yali	0006	#	#	#	#				
matukar	yali	0006	do	and	other	other				
matukar	yali	0006	sule-lo	school-LOC_in	np:g	np		g	8006	new
matukar	yali	0006	ZERO	ZERO	0.1:s	0	1	s	8001	
matukar	yali	0006	nga-	1SG.S-	-pro_1_s	-pro_1_s			8001	
matukar	yali	0006	a-we	go-R:I:PFV	v:pred	v		pred		
matukar	yali	0006	%	%	%	%				
matukar	yali	0006	#	#	#	#				
matukar	yali	0006	sule-lo	school-LOC_in	np:g	np		g	8006	
matukar	yali	0006	ZERO	ZERO	0.1:s	0	1	s	8001	
matukar	yali	0006	nga-	1SG.S-	-pro_1_s	-pro_1_s			8001	
matukar	yali	0006	a-we	go-SEQ:D	v:pred	v		pred		
matukar	yali	0006	%	%	%	%				
matukar	yali	0006	#	#	#	#				
matukar	yali	0006	ZERO	ZERO	0.1:s	0	1	s	8001	
matukar	yali	0006	nga-	1SG.S-	-pro_1_s	-pro_1_s			8001	
matukar	yali	0006	tor-do	walk-R:D	v:pred	v		pred		
matukar	yali	0006	%	%	%	%				
matukar	yali	0006	#	#	#	#				
matukar	yali	0006	bunu	Bunu	nc	nc				
matukar	yali	0006	tamat	man	nc	nc				
matukar	yali	0007	sugar	sugar	ln	ln				
matukar	yali	0007	tamat	man	np.h:a	np	h	a	8007	new
matukar	yali	0008	ZERO	ZERO	0.1:p	0	1	p	8001	
matukar	yali	0008	ngale	marry	v:pred	v		pred		
