ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1003,1002,<
2,1004,1002,<
3,1014,1006,>
4,1014,1013,>
5,1025,1024,M
6,1029,1005,>
7,1029,1014,>
8,1031,1005,M
9,1047,1006,>
10,1047,1045,>
11,1049,1006,M
12,1052,1005,>
13,1052,1051,>
14,1054,1052,>
15,1054,1053,>
16,1057,1053,<
17,2005,2001,>
18,2005,2002,>
19,2014,2002,<
20,2026,2025,<
21,2027,2002,<
22,2030,2001,>
23,2030,2014,>
24,2034,2030,>
25,2034,2032,>
26,3005,3002,>
27,3005,3004,>
28,3008,3003,>
29,3008,3007,>
30,3013,3008,>
31,3013,3011,>
32,3028,3026,>
33,3028,3027,>
34,4006,4004,>
35,4006,4005,>
36,4019,4005,>
37,4019,4013,>
38,5013,5006,M
39,5015,5006,>
40,5015,5008,>
41,5029,5008,M
42,5030,5008,M
43,5032,5008,M
44,5036,5008,M
45,5046,5008,M
46,5048,5008,M
47,5052,5006,M
48,5053,5008,M
49,5058,5006,M
50,5059,5008,M
51,5062,5006,M
52,6006,6005,<
53,6007,6005,<
54,6013,6011,M
55,6016,6014,<
56,6017,6011,M
57,6020,6006,<
58,6021,6006,<
59,6034,6033,<
60,6035,6033,<
61,6042,6041,<
62,6049,6047,>
63,6049,6048,>
64,7009,7001,M
65,7015,7003,>
66,7015,7011,>
67,7025,7024,M
68,7038,7003,<
69,7043,7040,<
70,7055,7039,<
71,7059,7055,>
72,7059,7056,>
73,7059,7057,>
74,8008,8001,>
75,8008,8007,>
76,8014,8001,>
77,8014,8012,>
78,8024,8014,>
79,8024,8016,>
80,8051,8014,>
81,8051,8040,>
82,8058,8054,>
83,8058,8055,>
84,8068,8040,M
85,8077,8075,>
86,8077,8076,>
87,8086,8003,>
88,8086,8005,>
89,8087,8001,>
90,8087,8086,>
91,8092,8089,>
92,8092,8091,>
93,8092,8092,>
94,8098,8097,M
95,8103,8001,>
96,8103,8082,>
97,8103,8083,>
