refind,label,description,class,notes
∅,,,,
1001,yang,name,inm,
1002,stori,two stories,inm,
1003,tahaik,first story,inm,
1004,tahaik,second story,inm,
1005,ngau,Bruce,hum,
1006,tama-u,Bruce's father,hum,
1007,aitape,aitape,loc,
1008,ailan,ali island,loc,
1009,Kimbe,Kimbe,loc,
1010,urat,work,inm,
1011,ager,war,inm,
1012,wag,canoe made by Bruce's father,inm,
1013,nen,Bruce's mother,hum,
1014,ZERO,Bruce's father and mother,hum,
1015,Murik-i,Murik,loc,
1016,Somare,Somare,loc,
1017,tamat,man who looks after Bruce's dad,hum,
1018,mam,Bruce's dad's dad,hum,
1019,ZERO,soldiers?,hum,
1020,aim,hypothetical son,hum,
1021,yang,name of man who looks after Bruce's dad,inm,
1022,pain,hypothetical daughter,hum,
1023,yang-an,name of wife of man who looks after Bruce's dad,inm,
1024,ai,big tree,inm,
1025,ya,hole in tree,inm,
1026,ilo-n-lo,inside tree,inm,
1027,wag-ado,on top of canoe,inm,
1028,ZERO,stuff put in canoe,inm,
1029,ZERO,"bruce, mum and dad",hum,
1030,garang,jungle,loc,
1031,mata-u,Bruce's eyes,bdp,
1032,abang,area,loc,
1033,man,police men,hum,
1034,hudungan,everyone who stayed,hum,
1035,malal-te,villages on island,loc,
1036,Rabaul-a,Rabaul,loc,
1037,lu-n,Bruce's mums sister,hum,
1038,tamat,man Bruce's father killed,hum,
1039,ilo-n-lo,inside jail,loc,
1040,mani,here (this village),loc,
1041,bras,dad's time in jail,tme,
1042,milo,everything,inm,
1043,tan,"ground, territory",loc,
1044,tamat,another man Bruce's father killed,hum,
1045,ZERO,people that took Bruce's dad to prison (police),hum,
1046,Mosbi-a,Moresby,loc,
1047,ZERO,people that took Bruce's dad to prison and Bruce's dad,hum,
1048,ilo-n-lo,in ground,loc,
1049,num,Bruce's dad's hand,bdp,
1050,bras,Bruce's dad's second jail sentence,inm,
1051,pain,Bruce's wife,hum,
1052,ZERO,Bruce and wife,hum,
1053,aipainim,Bruce's children,hum,
1054,ZERO,Bruce + his wife + children,inm,
1055,yar,Year 2000,inm,
1057,aipain,Bruce's daughters,hum,
1058,wag,canoes,inm,
1059,ai,trees,inm,
1060,wasing,fish,anm,
1061,ZERO,people who would follow a road,hum,
1062,Matugar,Matukar,loc,
1063,Yoidig,Yoidig,loc,
1064,Wasab,Wasab,loc,
1065,ZERO,"People of Matukar, Yoidig & Wasab",hum,
1066,dal-te,Roadside,loc,
1067,ZERO,People (fish sellers) today,hum,
2001,ZERO,Cathy,hum,
2002,iwauud,Cathy's in laws,hum,
2003,awa-n-te,mouth of river,loc,
2004,gum,hermit crabs,anm,
2005,ZERO,cathy and in laws,hum,
2006,onon,hooks,inm,
2007,wasing,fish Cathy caught,anm,
2009,mumolau,mumolau,anm,
2010,sina,sina,anm,
2011,bub,bub,anm,
2012,yau,fire,inm,
2013,fud-ama-n-da,bananas,inm,
2014,iwau,Rebecca,hum,
2015,gum,new crabs,anm,
2016,ZERO,crabs she caught,anm,
2018,nub,water/river,loc,
2019,madid,coldness,inm,
2020,pat-te,stone,inm,
2021,ZERO,one hook (that's stuck),inm,
2022,mumalao,one big mumalao,anm,
2023,aipain,cathy's daughter,hum,
2024,ab-ate,house,loc,
2025,mariu,betel nut,inm,
2026,ZERO,specific betel nut,inm,
2027,iwau,other in-law (not Rebecca),hum,
2028,aipain,"elder daughter (possibly the same as 2023, but we are coding it as a separate referent)",hum,
2029,malal,town (i.e. Madang) malal dabok lit: big village,loc,
2030,id,Rebecca and Cathy,hum,
2031,Masikan-te,Masikan,loc,
