ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
bklife_0001,mcmatukar,Ngau yangau main Bruce do Kaluk.,#	ngau	yang	-au	main	Bruce	do	Kaluk	%,#	1SG.S	name	-1SG	TOP	Bruce	CONJ	Kaluk	%,My name is Bruce and Kaluk,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,2010,5900,#	ln_pro.1	np:s	-rn_pro.1:poss	rn	pn_np:pred	other	rn_pn_np	%,,bklife,∅	1005	1001	1005	∅	∅	∅	∅	∅,∅	1005	1001	1005	∅	∅	∅	∅	∅,∅	new	new	∅	∅	∅	∅	∅	∅
bklife_0002,mcmatukar,Do gauni ngahau stori aru ae gam tie.,#	do	gauni	nga-ha-u	stori	aru	aru-e	gam	ti-e	%,#	CONJ	today	1SG.S-POSS-1SG	story	two	aru-DEFID	already	finish-R:I:PFV	%,and now my two stories are over,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,7160,10730,#	other	other	ln_pro.1:poss	np:s	rn	rn	other	v:pred	%,,bklife,∅	∅	∅	1005	1002	∅	∅	∅	∅	∅,∅	∅	∅	1005	1002	∅	∅	∅	∅	∅,∅	∅	∅	∅	new	∅	∅	∅	∅	∅
bklife_0003,mcmatukar,Tahaik tie gauni tahaik ngastoribawai.,#	tahaik	ti-e	%	#	gauni	tahaik	nga-	stori-bawai	%,#	one	finish-R:I:PFV	%	#	today	one	1SG.S-	story-IRR:I:DESID	%,one is done and now I want to tell you the other story,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,11070,13680,#	np:s	v:pred	%	#	other	np:p	-pro.1:a	v:pred	%,,bklife,∅	1003	∅	∅	∅	∅	1004	1005	∅	∅,∅	1003	∅	∅	∅	∅	1004	1005	∅	∅,∅	bridging	∅	∅	∅	∅	bridging	∅	∅	∅
bklife_0004,mcmatukar,Ngahau life stori ngapalumman main gaumomani mani ngamadonggo.,#	nga-ha-u	life	stori	nga-	palum-ma-n	main	%	#	gaumomani	mani	ZERO	nga-	mado-nggo	%,#	1SG.S-POSS-1SG	life_[English]	story	1SG.S-	come-APS-3.SG	TOP	%	#	today	here	ZERO	1SG.S-	stay-R:I:IMPV	%,my life story of how I came here and stayed,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,14260,17960,#	ln_pro.1:poss	ln	np:s	-ln_pro.1:poss	np:pred	rn	%	#	other	other:l	0.1:s	-pro_1_s	v:pred	%,,bklife,∅	1005	∅	1004	1005	∅	∅	∅	∅	∅	1040	1005	1005	∅	∅,∅	1005	∅	1004	1005	∅	∅	∅	∅	∅	1040	1005	1005	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅
bklife_0005,mcmatukar,Ngahau tamau ngahau tamau mainangan mo.,#	nga-ha-u	tama-u	nga-ha-u	tama-u	mainangan	mo,#	1SG.S-POSS-1SG	father-1SG	1SG.S-POSS-1SG	father-1SG	TOP-FOC	there,my father is from,en,WORD_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,18869,26072,#	ln_pro.1:poss	np.h:appos	ln_pro.1:poss	np.h:s	rn	other:pred,,bklife,∅	1005	1006	1005	1006	∅	∅,∅	1005	1006	1005	1006	∅	∅,∅	∅	new	∅	∅	∅	∅
bklife_0006,mcmatukar,Aitape,Aitape,Aitape_(village),Aitape,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,26571,27818,pn_np:dt_l,,bklife,1007,1007,unused
bklife_0007,mcmatukar,Ali ailan.,Ali	ailan	%,Ali_(village)	island_[TokPisin]	%,Ali Island,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,28423,29921,ln	pn_np:dt_l	%,,bklife,∅	1008	∅,∅	1008	∅,∅	bridging	∅
bklife_0008,mcmatukar,Main ngau mam manig paluman.,#	main	ngau	mam	manig	palum-an	%,#	PROX	1SG.S	dad	like.this	come-FOC	%,my father came this way,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,30734,32825,#	ln	ln_pro.1	np.h:s	other	v:pred	%,,bklife,∅	∅	1005	1006	∅	∅	∅,∅	∅	1005	1006	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅
bklife_0009,mcmatukar,Palume yauwe mo Kimbe urat nagenge.,#	ZERO	palum-e	%	#	ZERO	y-	au-we	mo	Kimbe	%	#	urat	ZERO	nage-nge	%,#	ZERO	come-SEQ:D	%	#	ZERO	3SG.S-	go-SEQ:D	there	Kimbe_(village)	%	#	work	ZERO	work-R:I:PFV	%,He came and went to Kimbe and worked,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,33339,36449,#	0.h:s	v:pred	%	#	0.h:s	-pro_h_s	v:pred	other:l	pn_np:l	%	#	np:p	0.h:a	v:pred	%,,bklife,∅	1006	∅	∅	∅	1006	1006	∅	∅	1009	∅	∅	1010	1006	∅	∅,∅	1006	∅	∅	∅	1006	1006	∅	∅	1009	∅	∅	1010	1006	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	unused	∅	∅	new	∅	∅	∅
bklife_0010,mcmatukar,Urat nagenge tordo nal ager tibud hadi ager saipiddo i sole.,#	urat	ZERO	nage-nge	%	#	ZERO	tor-do	%	#	nal	ager	tibu-d	ha-di	ager	saipid-do	%	#	i	sol-e	%,#	work	ZERO	work-SEQ:D	%	#	ZERO	go.around-R:D	%	#	day	war	white.man-3PL	POSS-3PL	war	develop-R:D	%	#	3SG.S	run-R:I:PFV	%,he was working and the second world war came and he ran away,en,MORPHEME_ALIGNED,,bklife_mp3 bklife_wav bklife_eaf bklife_xml bklife_tsv,,37622,45590,#	np:p	0.h:a	v:pred	%	#	0.h:s	v:pred	%	#	other	np:dt_s	rn	ln	np:s	v:pred	%	#	pro.h:s	v:pred	%,,bklife,∅	1010	1006	∅	∅	∅	1006	∅	∅	∅	∅	1011	∅	∅	1011	∅	∅	∅	1006	∅	∅,∅	1010	1006	∅	∅	∅	1006	∅	∅	∅	∅	1011	∅	∅	1011	∅	∅	∅	1006	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅
